filename	angular-frequency	sdm-freq	Amplitude	sdm-Amp	vmax	sdm-vmax	phase-shift	sdm-shift	ref position,	sdm ref pos
forced-data/dmp_frc_11v.txt	12.757949	0.078456	0.002016	0.000065	0.025716	0.033018	-193.337324	0.006150	0.870155	0.000052
forced-data/dmp_frc_9_5v.txt	10.823077	0.053881	0.002891	0.000089	0.031290	0.031200	-188.312811	0.004978	0.870080	0.000074
forced-data/dmp_frc_8v.txt	9.082618	0.041618	0.004722	0.000135	0.042890	0.028963	-187.180233	0.004582	0.870145	0.000122
forced-data/dmp_frc_6_9v.txt	7.589982	0.029665	0.008428	0.000229	0.063968	0.027498	-183.151261	0.003908	0.870121	0.000217
forced-data/dmp_frc_6_7v.txt	7.304831	0.030038	0.009471	0.000273	0.069185	0.029107	-184.454039	0.004112	0.869875	0.000248
forced-data/dmp_frc_6_6v.txt	7.183407	0.024879	0.010261	0.000284	0.073710	0.027850	-183.263174	0.003463	0.869993	0.000266
forced-data/dmp_frc_6_5v.txt	7.033272	0.026482	0.011427	0.000303	0.080368	0.026742	-182.690217	0.003765	0.869711	0.000294
forced-data/dmp_frc_6_4v.txt	6.920510	0.029112	0.012227	0.000340	0.084617	0.028135	-184.571708	0.004207	0.869603	0.000315
forced-data/dmp_frc_6_2v.txt	6.668296	0.026185	0.014636	0.000383	0.097596	0.026493	-181.862092	0.003927	0.869497	0.000373
forced-data/dmp_frc_5_9v.txt	6.257293	0.014385	0.020394	0.000554	0.127611	0.027240	-182.175824	0.002299	0.869793	0.000525
forced-data/dmp_frc_5_7v.txt	6.034563	0.019455	0.026007	0.000729	0.156942	0.028204	-177.822890	0.003224	0.869678	0.000666
forced-data/dmp_frc_5_6v.txt	5.946857	0.022110	0.028465	0.000775	0.169276	0.027483	-177.952944	0.003718	0.869971	0.000735
forced-data/dmp_frc_5_5v.txt	5.809773	0.007991	0.034756	0.000918	0.201925	0.026450	-173.096595	0.001376	0.869555	0.000890
forced-data/dmp_frc_5_4v.txt	5.726342	0.021053	0.038097	0.001013	0.218156	0.026847	-168.003527	0.003677	0.869873	0.000992
forced-data/dmp_frc_5_3v.txt	5.561625	0.017466	0.050979	0.001413	0.283524	0.027898	-162.922509	0.003141	0.869218	0.001300
forced-data/dmp_frc_5_2v.txt	5.416539	0.000000	0.058656	0.005112	0.317715	0.087148	-148.965517	0.000000	0.867780	0.001637
forced-data/dmp_frc_5_1v.txt	5.275238	0.015878	0.080163	0.002124	0.422877	0.026669	-133.192444	0.003010	0.869540	0.002081
forced-data/dmp_frc_5_0v.txt	5.205278	0.014216	0.089475	0.002450	0.465741	0.027515	-124.390029	0.002732	0.868741	0.002310
forced-data/dmp_frc_4_9v.txt	5.023900	0.015389	0.102929	0.002652	0.517104	0.025944	-82.163872	0.003063	0.868634	0.002645
forced-data/dmp_frc_4_8v.txt	4.923819	0.010394	0.094409	0.002528	0.464855	0.026863	-60.446167	0.002113	0.868392	0.002413
forced-data/dmp_frc_4_7v.txt	4.844989	0.016460	0.078715	0.002188	0.381375	0.028000	-40.883682	0.003399	0.868691	0.002049
forced-data/dmp_frc_4_6v.txt	4.633989	0.009635	0.049435	0.001285	0.229083	0.026069	-19.644003	0.002082	0.868980	0.001272
forced-data/dmp_frc_4_5v.txt	4.613789	0.011885	0.043326	0.004807	0.199897	0.110984	-17.602968	0.002588	0.868051	0.001244
forced-data/dmp_frc_4_4v.txt	4.547389	0.015066	0.042732	0.001251	0.194319	0.029462	-16.575270	0.003332	0.868339	0.001094
forced-data/dmp_frc_4_3v.txt	4.291601	0.016697	0.029141	0.000797	0.125061	0.027610	-8.505819	0.003954	0.868456	0.000768
forced-data/dmp_frc_4_2v.txt	4.195742	0.013464	0.016195	0.005188	0.067951	0.320328	-9.777645	0.003244	0.868763	0.000715
