Vernier Format 2
Untitled.cmbl 2012-10-23 17:22:27 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0349065850399	1.74532925199	-2.70014286285	0.83692	-0.204609027778	1.27645756173
0.04	0.0698131700798	1.70896822591	-4.06704810264	 	 	 
0.06	0.10471975512	1.64351837896	-6.49448326986	0.826973	-0.153039930556	1.26676437114
0.08	0.13962634016	1.40595967522	-7.36310778185	 	 	 
0.1	0.157079632679	1.308996939	-6.59548612009	0.8233715	-0.1003275	1.23910734954
0.12	0.191986217719	1.21203420277	-8.61217636304	 	 	 
0.14	0.209439510239	0.945386678164	-9.72994123893	0.81977	-0.0625260416667	1.37107368827
0.16	0.226892802759	0.799942573831	-9.72994123893	 	 	 
0.18	0.244346095279	0.53329504922	-8.65257750314	0.817026	0.00690763888889	1.53810754244
0.2	0.244346095279	0.436332312999	-6.90186143246	 	 	 
0.22	0.261799387799	0.339369576777	-8.88825082034	0.8202845	0.0746739583333	1.40025250772
0.24	0.261799387799	0.0727220521664	-10.8746402082	 	 	 
0.26	0.261799387799	-0.0969627362219	-12.7263591291	0.8240575	0.121479166667	1.19213011188
0.28	0.261799387799	-0.436332312999	-13.9383933319	 	 	 
0.3	0.244346095279	-0.75146120572	-10.8746402082	0.8302315	0.161614930556	1.11951388889
0.32	0.226892802759	-0.872664625997	-7.67621661757	 	 	 
0.34	0.209439510239	-0.969627362219	-8.14756325198	0.836234	0.212469444444	1.00967978395
0.36	0.191986217719	-1.21203420277	-8.8545832036	 	 	 
0.38	0.157079632679	-1.33323762305	-9.42693268824	0.847553	0.254987152778	0.640891927083
0.4	0.13962634016	-1.50292241144	-12.7600267459	 	 	 
0.42	0.10471975512	-1.96349540849	-10.7399697412	0.8583575	0.259155555556	0.340254147377
0.44	0.0523598775598	-2.06045814472	-3.36676167437	 	 	 
0.46	0.0174532925199	-1.93925472444	-2.35673317206	0.867447	0.275233680556	0.160285011574
0.48	-0.0174532925199	-2.10893951283	-3.53509975809	 	 	 
0.5	-0.0698131700798	-2.15742088094	-2.05372462137	0.880481	0.283332291667	-0.249773341049
0.52	-0.10471975512	-2.18166156499	-0.707019951618	 	 	 
0.54	-0.157079632679	-2.18166156499	0.976360885568	0.8916285	0.256773611111	-0.688365403164
0.56	-0.191986217719	-2.15742088094	3.19842359065	 	 	 
0.58	-0.244346095279	-2.08469882877	6.49785003154	0.9012325	0.220329861111	-0.963281491127
0.6	-0.279252680319	-1.84229198822	7.44054330036	 	 	 
0.62	-0.314159265359	-1.74532925199	6.43051479805	0.909293	0.17793125	-1.17128809799
0.64	-0.349065850399	-1.64836651577	7.70988423431	 	 	 
0.66	-0.383972435439	-1.40595967522	7.94555755152	0.91581	0.126838541667	-1.35398654514
0.68	-0.401425727959	-1.308996939	7.84455470129	 	 	 
0.7	-0.436332312999	-1.18779351872	11.817333477	0.9197545	0.0671708333333	-1.47126422647
0.72	-0.453785605519	-0.848423941942	15.9584503365	 	 	 
0.74	-0.471238898038	-0.460572997054	15.7901122528	0.9211265	0.00690763888889	-1.51716628086
0.76	-0.471238898038	-0.121203420277	10.908307825	 	 	 
0.78	-0.471238898038	-0.0242406840555	6.02650339713	0.9204405	-0.0558565972222	-1.4988054591
0.8	-0.471238898038	0.0242406840555	5.85816531341	 	 	 
0.82	-0.471238898038	0.121203420277	9.96561455614	0.9166675	-0.117548958333	-1.36324966242
0.84	-0.471238898038	0.436332312999	13.7363876314	 	 	 
0.86	-0.453785605519	0.775701889775	12.6926915124	0.9104935	-0.166378819444	-1.17500988619
0.88	-0.436332312999	0.945386678164	10.8746402082	 	 	 
0.9	-0.418879020479	1.21203420277	8.8545832036	0.9032905	-0.210682986111	-0.983792679398
0.92	-0.383972435439	1.308996939	6.699855732	 	 	 
0.94	-0.366519142919	1.40595967522	7.70988423431	0.893515	-0.248436805556	-0.716733699846
0.96	-0.331612557879	1.64836651577	7.64254900082	 	 	 
0.98	-0.296705972839	1.74532925199	6.19484148084	0.8827105	-0.269159722222	-0.410554591049
1	-0.261799387799	1.84229198822	6.29584433108	 	 	 
